X,Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Representative_document,Keys
3365,of many people to fall and roll up as a ball,28,28_fall_head_turn_over,"['fall', 'head', 'turn', 'over', 'down', 'jump', 'back', 'go', 'to', 'move']","['to fall down head over heels', 'to look back, turn head around', 'to turn head']",fall - head - turn - over - down - jump - back - go - to - move,FALSE,tơbŭl-tơbônh-mônh
3366,first quarter moon,7,7_particle_question_final_marker,"['particle', 'question', 'final', 'marker', 'huh', 'bell', 'strange', 'size', 'sedang', 'tomb']","['huh? question particle', 'final question particle ', 'final question particle']",particle - question - final - marker - huh - bell - strange - size - sedang - tomb,FALSE,"tơ'bang, khei tơ bang"
3367,"to hang on, hook over line",13,13_hit_pull_tie_with,"['hit', 'pull', 'tie', 'with', 'carry', 'on', 'to', 'against', 'shoulder', 'put']","['to hit with a small stick', 'to pull, to tie well', 'to throw up and hit one stick with another']",hit - pull - tie - with - carry - on - to - against - shoulder - put,FALSE,tơ'băk
3368,bamboo shoots,15,15_bamboo_type_grass_made,"['bamboo', 'type', 'grass', 'made', 'tree', 'used', 'of', 'fish', 'xylophone', 'small']","['a type of bamboo', 'type of bamboo', 'type of bamboo']",bamboo - type - grass - made - tree - used - of - fish - xylophone - small,FALSE,tơ'băng
3369,to stab each other,13,13_hit_pull_tie_with,"['hit', 'pull', 'tie', 'with', 'carry', 'on', 'to', 'against', 'shoulder', 'put']","['to hit with a small stick', 'to pull, to tie well', 'to throw up and hit one stick with another']",hit - pull - tie - with - carry - on - to - against - shoulder - put,FALSE,tơ'bet
3370,a large load,19,19_intensive_water_dry_hot,"['intensive', 'water', 'dry', 'hot', 'fire', 'rain', 'dirty', 'season', 'boil', 'large']","['very intensive', 'large fire (intensive form) ', 'intensive of']",intensive - water - dry - hot - fire - rain - dirty - season - boil - large,FALSE,tơ'bêl
3371,"to make to lay down, lay someone down",34,34_someone_caught_going_crush,"['someone', 'caught', 'going', 'crush', 'hit', 'something', 'by', 'upon', 'to', 'hand']","['to crush, press down with hand ', 'to raise arm holding something ready to hit someone or something', 'to hold or push someone head up']",someone - caught - going - crush - hit - something - by - upon - to - hand,FALSE,tơ'bĭch
3372,"fork in tree, forked stick, small branches",15,15_bamboo_type_grass_made,"['bamboo', 'type', 'grass', 'made', 'tree', 'used', 'of', 'fish', 'xylophone', 'small']","['a type of bamboo', 'type of bamboo', 'type of bamboo']",bamboo - type - grass - made - tree - used - of - fish - xylophone - small,FALSE,tơ'bla
3373,to hang on a hook,13,13_hit_pull_tie_with,"['hit', 'pull', 'tie', 'with', 'carry', 'on', 'to', 'against', 'shoulder', 'put']","['to hit with a small stick', 'to pull, to tie well', 'to throw up and hit one stick with another']",hit - pull - tie - with - carry - on - to - against - shoulder - put,FALSE,to'blăk
3374,a type of eruption that is very itchy,49,49_noise_loud_crying_sound,"['noise', 'loud', 'crying', 'sound', 'of', 'drowning', 'bubbling', 'ghost', 'noisy', 'person']","['noise of person crying; noise of blowing on something ', 'loud noise', 'loud noise ']",noise - loud - crying - sound - of - drowning - bubbling - ghost - noisy - person,FALSE,tơ'boch
3375,snout,5,5_bird_type_animal_duck,"['bird', 'type', 'animal', 'duck', 'of', 'wild', 'color', 'white', 'like', 'nest']","['bird', 'type of small bird ', 'a type of bird']",bird - type - animal - duck - of - wild - color - white - like - nest,FALSE,tơ'bong
3376,to make to look for by smelling e.g. dog after prey,42,42_animals_dog_hunting_prey,"['animals', 'dog', 'hunting', 'prey', 'trap', 'by', 'catch', 'animal', 'smelling', 'herd']","['of animals to be with young', 'to be successful in hunting animals', 'to catch animals, trap animals']",animals - dog - hunting - prey - trap - by - catch - animal - smelling - herd,FALSE,"tơ'bŏu, tơ'bâu"
3377,to show,1,1_look_yes_there_times,"['look', 'yes', 'there', 'times', 'more', 'equal', 'over', 'if', 'past', 'distant']","['to look at ', 'to look at ', 'to look here and there ']",look - yes - there - times - more - equal - over - if - past - distant,FALSE,tơ'bôh
3378,to meet,11,11_order_command_first_to,"['order', 'command', 'first', 'to', 'over', 'step', 'begin', 'work', 'go', 'do']","['to command, order', 'to command, order ', 'to command, order']",order - command - first - to - over - step - begin - work - go - do,FALSE,tơ'bỡp
3379,to have two objects with their heads facing each other,17,17_crossbow_footprints_arrow_cockeyed,"['crossbow', 'footprints', 'arrow', 'cockeyed', 'length', 'mouse', 'kite', 'spider', 'crosseyed', 'necklace']","['crossbow', 'the length of objects as opposed to their width i.e. the measurement of the length', 'body of crossbow on which arrow is set']",crossbow - footprints - arrow - cockeyed - length - mouse - kite - spider - crosseyed - necklace,FALSE,tơ'buh
3380,to describe something rather large that is red,39,39_white_black_red_dark,"['white', 'black', 'red', 'dark', 'color', 'dust', 'reddish', 'complexion', 'ruddy', 'very']","['very black, dirty black', 'color combination of having small spots of black and white', 'very black, dirty black ']",white - black - red - dark - color - dust - reddish - complexion - ruddy - very,FALSE,to'brê
3381,to think,2,2_be_go_me_praise,"['be', 'go', 'me', 'praise', 'wait', 'for', 'to', 'home', 'careful', 'fool']","['let me go (and see about it)', 'to ask to go with invite to go somewhere ', '""excuse me, I must go home""']",be - go - me - praise - wait - for - to - home - careful - fool,FALSE,tơchĕng
3382,"of birds to fight with, peck each other",42,42_animals_dog_hunting_prey,"['animals', 'dog', 'hunting', 'prey', 'trap', 'by', 'catch', 'animal', 'smelling', 'herd']","['of animals to be with young', 'to be successful in hunting animals', 'to catch animals, trap animals']",animals - dog - hunting - prey - trap - by - catch - animal - smelling - herd,FALSE,tơchoh
3383,to kiss each other,10,10_do_stop_go_to,"['do', 'stop', 'go', 'to', 'quickly', 'work', 'doing', 'keep', 'sit', 'at']","['to be finished stop thong to go somewhere for pleasure', 'to stop off at ', 'to do quickly ']",do - stop - go - to - quickly - work - doing - keep - sit - at,FALSE,tơchŭm
3384,wild duck,5,5_bird_type_animal_duck,"['bird', 'type', 'animal', 'duck', 'of', 'wild', 'color', 'white', 'like', 'nest']","['bird', 'type of small bird ', 'a type of bird']",bird - type - animal - duck - of - wild - color - white - like - nest,FALSE,tơda đak
3385,"to hit, slug",13,13_hit_pull_tie_with,"['hit', 'pull', 'tie', 'with', 'carry', 'on', 'to', 'against', 'shoulder', 'put']","['to hit with a small stick', 'to pull, to tie well', 'to throw up and hit one stick with another']",hit - pull - tie - with - carry - on - to - against - shoulder - put,FALSE,tơdai
3386,young unmarried man,9,9_law_people_person_mother,"['law', 'people', 'person', 'mother', 'father', 'polite', 'dual', 'daughter', 'friend', '1st']","['an aunt who is younger than father or mother, honorific term for women same age or younger than speaker', 'father-in-law, mother-in-law', 'close friend with special contract or pact also used in addressing father-in-law and mother-in-law of one son or daughter ']",law - people - person - mother - father - polite - dual - daughter - friend - 1st,FALSE,tơdăm
3387,"to be hard, stiff, not pliable",24,24_water_wash_fire_clean,"['water', 'wash', 'fire', 'clean', 'stomach', 'boil', 'pour', 'into', 'grow', 'to']","['to run through hair to wash it or dry it', 'to fade, wash out, become clean ', 'wash, wipe with water']",water - wash - fire - clean - stomach - boil - pour - into - grow - to,FALSE,tơdăng
3388,to live in someone else's house temporarily,2,2_be_go_me_praise,"['be', 'go', 'me', 'praise', 'wait', 'for', 'to', 'home', 'careful', 'fool']","['let me go (and see about it)', 'to ask to go with invite to go somewhere ', '""excuse me, I must go home""']",be - go - me - praise - wait - for - to - home - careful - fool,FALSE,tơdăng
3389,to talk softly,29,29_hear_quiet_eyes_fear,"['hear', 'quiet', 'eyes', 'fear', 'sleep', 'shake', 'feel', 'be', 'yell', 'talking']","['to shake from fear', 'to be afraid, shake from fear', 'to hear many people talking, to hear heavy noise']",hear - quiet - eyes - fear - sleep - shake - feel - be - yell - talking,FALSE,"todăr, pơma tơdăr"
3390,a type of bird,5,5_bird_type_animal_duck,"['bird', 'type', 'animal', 'duck', 'of', 'wild', 'color', 'white', 'like', 'nest']","['bird', 'type of small bird ', 'a type of bird']",bird - type - animal - duck - of - wild - color - white - like - nest,TRUE,tơde
3391,to wait a long time,2,2_be_go_me_praise,"['be', 'go', 'me', 'praise', 'wait', 'for', 'to', 'home', 'careful', 'fool']","['let me go (and see about it)', 'to ask to go with invite to go somewhere ', '""excuse me, I must go home""']",be - go - me - praise - wait - for - to - home - careful - fool,FALSE,tơdeh
3392,storm,35,35_hair_high_recede_unruly,"['hair', 'high', 'recede', 'unruly', 'thunder', 'weight', 'see', 'swelling', 'distance', 'light']","['same as pơtuch but the distance between caller and listener is less', 'hair all over the place unruly hair', 'to describe unruly hair']",hair - high - recede - unruly - thunder - weight - see - swelling - distance - light,FALSE,tơdĭu
3393,"to pound, to knock",13,13_hit_pull_tie_with,"['hit', 'pull', 'tie', 'with', 'carry', 'on', 'to', 'against', 'shoulder', 'put']","['to hit with a small stick', 'to pull, to tie well', 'to throw up and hit one stick with another']",hit - pull - tie - with - carry - on - to - against - shoulder - put,FALSE,tơdŏ
3394,to swing,13,13_hit_pull_tie_with,"['hit', 'pull', 'tie', 'with', 'carry', 'on', 'to', 'against', 'shoulder', 'put']","['to hit with a small stick', 'to pull, to tie well', 'to throw up and hit one stick with another']",hit - pull - tie - with - carry - on - to - against - shoulder - put,FALSE,tơdŏl
3395,"to rescue from trouble, help",8,8_maybe_fault_like_occurs,"['maybe', 'fault', 'like', 'occurs', 'bound', 'emphasis', 'morpheme', 'strong', 'quickly', 'understand']","['(bound morpheme that occurs in tŏl-bơbŏl)', '(bound morpheme that occurs in tơlueng-tơluônh-mônh)', '(bound morpheme that occurs in tơdŭk-tơdăk)']",maybe - fault - like - occurs - bound - emphasis - morpheme - strong - quickly - understand,FALSE,tơdŏng
3396,warp,16,16_side_leg_top_roads,"['side', 'leg', 'top', 'roads', 'belt', 'floor', 'width', 'upper', 'corner', 'vehicle']","['row of houses side by side', 'one side', 'side by side']",side - leg - top - roads - belt - floor - width - upper - corner - vehicle,FALSE,tơdŏng
3397,mark musical note,8,8_maybe_fault_like_occurs,"['maybe', 'fault', 'like', 'occurs', 'bound', 'emphasis', 'morpheme', 'strong', 'quickly', 'understand']","['(bound morpheme that occurs in tŏl-bơbŏl)', '(bound morpheme that occurs in tơlueng-tơluônh-mônh)', '(bound morpheme that occurs in tơdŭk-tơdăk)']",maybe - fault - like - occurs - bound - emphasis - morpheme - strong - quickly - understand,FALSE,tơdra
3398,to recognize,1,1_look_yes_there_times,"['look', 'yes', 'there', 'times', 'more', 'equal', 'over', 'if', 'past', 'distant']","['to look at ', 'to look at ', 'to look here and there ']",look - yes - there - times - more - equal - over - if - past - distant,FALSE,tơdra
3399,an area with thick clumps of pơle bamboo,15,15_bamboo_type_grass_made,"['bamboo', 'type', 'grass', 'made', 'tree', 'used', 'of', 'fish', 'xylophone', 'small']","['a type of bamboo', 'type of bamboo', 'type of bamboo']",bamboo - type - grass - made - tree - used - of - fish - xylophone - small,FALSE,tơdrah
3400,"common, belonging to all",4,4_many_different_more_one,"['many', 'different', 'more', 'one', 'kind', 'all', 'bushhook', 'five', 'seven', 'kinds']","['only, all of one kind only one', 'how many, that many, all of those ', 'money in 50, 100, or 500 piastre bills -  many of one kind']",many - different - more - one - kind - all - bushhook - five - seven - kinds,FALSE,tơdrăng
3401,things held in common,4,4_many_different_more_one,"['many', 'different', 'more', 'one', 'kind', 'all', 'bushhook', 'five', 'seven', 'kinds']","['only, all of one kind only one', 'how many, that many, all of those ', 'money in 50, 100, or 500 piastre bills -  many of one kind']",many - different - more - one - kind - all - bushhook - five - seven - kinds,FALSE,tơmam tơdrăng
3402,"twilight, time of sun going down",0,0_time_day_completely_hidden,"['time', 'day', 'completely', 'hidden', 'nothing', 'days', 'continually', 'there', 'ago', 'today']","['nothing there, completely gone ', 'completely gone, nothing there ', 'a while ago, the other day time, designates time from a few days ago up to about a year ago']",time - day - completely - hidden - nothing - days - continually - there - ago - today,FALSE,tơdre
3403,"thing (abstract), subject, story, matter",3,3_village_family_name_children,"['village', 'family', 'name', 'children', 'child', 'emphatic', 'form', 'old', 'goat', 'chicken']","['village', 'large village', 'old abandoned village, site of old village']",village - family - name - children - child - emphatic - form - old - goat - chicken,FALSE,tơdrong
3404,to shake heavily move back and forth,36,36_throw_shake_feel_choke,"['throw', 'shake', 'feel', 'choke', 'suck', 'touch', 'to', 'when', 'mouth', 'dive']","['to throw', 'to throw out', 'may also have the idea of throw away especially when preceded by words meaning to throw out ']",throw - shake - feel - choke - suck - touch - to - when - mouth - dive,FALSE,tơdrŏ
3405,earthquake,35,35_hair_high_recede_unruly,"['hair', 'high', 'recede', 'unruly', 'thunder', 'weight', 'see', 'swelling', 'distance', 'light']","['same as pơtuch but the distance between caller and listener is less', 'hair all over the place unruly hair', 'to describe unruly hair']",hair - high - recede - unruly - thunder - weight - see - swelling - distance - light,FALSE,the tơdrŏ
3406,six,4,4_many_different_more_one,"['many', 'different', 'more', 'one', 'kind', 'all', 'bushhook', 'five', 'seven', 'kinds']","['only, all of one kind only one', 'how many, that many, all of those ', 'money in 50, 100, or 500 piastre bills -  many of one kind']",many - different - more - one - kind - all - bushhook - five - seven - kinds,FALSE,"tơdrŏu, tơdrâu"
3407,"market basket, cage",21,21_basket_tree_hut_sword,"['basket', 'tree', 'hut', 'sword', 'centipede', 'calf', 'rod', 'trees', 'back', 'trunk']","['the top part of a tree; the ending of a story (as opposed to trunk of tree or in abstract form beginning) ', 'small back basket ', 'small back basket']",basket - tree - hut - sword - centipede - calf - rod - trees - back - trunk,FALSE,tơdrôp
3408,to chase each other,22,22_do_obey_someone_make,"['do', 'obey', 'someone', 'make', 'want', 'give', 'to', 'along', 'take', 'something']","[""to want to do something one can't"", 'to make to obey ', 'to not want to do']",do - obey - someone - make - want - give - to - along - take - something,FALSE,tơdruh
3409,"only those of one group, that group but no outsiders",9,9_law_people_person_mother,"['law', 'people', 'person', 'mother', 'father', 'polite', 'dual', 'daughter', 'friend', '1st']","['an aunt who is younger than father or mother, honorific term for women same age or younger than speaker', 'father-in-law, mother-in-law', 'close friend with special contract or pact also used in addressing father-in-law and mother-in-law of one son or daughter ']",law - people - person - mother - father - polite - dual - daughter - friend - 1st,FALSE,tơduă
3410,"to go around very fast as propeller, wheel",28,28_fall_head_turn_over,"['fall', 'head', 'turn', 'over', 'down', 'jump', 'back', 'go', 'to', 'move']","['to fall down head over heels', 'to look back, turn head around', 'to turn head']",fall - head - turn - over - down - jump - back - go - to - move,FALSE,toduĕr
3411,the shape of a group of bees in the air,40,40_that_type_lives_poisonous,"['that', 'type', 'lives', 'poisonous', 'fish', 'frog', 'edible', 'snake', 'insect', 'is']","['type of snake, worm that lives in water and can burrow easily', 'small frog that lives in the water ', 'a type of bee-like insect that is very small, its honey and offspring are edible']",that - type - lives - poisonous - fish - frog - edible - snake - insect - is,FALSE,tơdut
3412,(bound morpheme that occurs in tơdŭk-tơdăk),8,8_maybe_fault_like_occurs,"['maybe', 'fault', 'like', 'occurs', 'bound', 'emphasis', 'morpheme', 'strong', 'quickly', 'understand']","['(bound morpheme that occurs in tŏl-bơbŏl)', '(bound morpheme that occurs in tơlueng-tơluônh-mônh)', '(bound morpheme that occurs in tơdŭk-tơdăk)']",maybe - fault - like - occurs - bound - emphasis - morpheme - strong - quickly - understand,TRUE,tơdŭk
3413,action and noise of fruit or similar things hitting the ground,45,45_roar_describe_animal_noise,"['roar', 'describe', 'animal', 'noise', 'of', 'tiger', 'ears', 'bird', 'the', 'wings']","['to describe the flapping of the wings of many birds ', 'the sound of the roar of the elephant', 'sound of roar of tiger']",roar - describe - animal - noise - of - tiger - ears - bird - the - wings,FALSE,tơdŭk-tơdăk
3414,many roads branching off,16,16_side_leg_top_roads,"['side', 'leg', 'top', 'roads', 'belt', 'floor', 'width', 'upper', 'corner', 'vehicle']","['row of houses side by side', 'one side', 'side by side']",side - leg - top - roads - belt - floor - width - upper - corner - vehicle,FALSE,todŭk-tơdăk-măk
3415,"to hold fast, not fall out, stick to, be caught in",34,34_someone_caught_going_crush,"['someone', 'caught', 'going', 'crush', 'hit', 'something', 'by', 'upon', 'to', 'hand']","['to crush, press down with hand ', 'to raise arm holding something ready to hit someone or something', 'to hold or push someone head up']",someone - caught - going - crush - hit - something - by - upon - to - hand,FALSE,tơđom
3416,to make sacrifice,47,47_grab_scrape_take_out,"['grab', 'scrape', 'take', 'out', 'put', 'scoop', 'clothes', 'on', 'prepare', 'hands']","['to take out with hands to eat', 'to take down or take apart as a house, to take out of a basket or a cupboard', 'to scrape out of the way, to scrape out and throw away']",grab - scrape - take - out - put - scoop - clothes - on - prepare - hands,FALSE,tơđon
3417,"to argue over, compete to get something",22,22_do_obey_someone_make,"['do', 'obey', 'someone', 'make', 'want', 'give', 'to', 'along', 'take', 'something']","[""to want to do something one can't"", 'to make to obey ', 'to not want to do']",do - obey - someone - make - want - give - to - along - take - something,FALSE,tơgar
3418,bushhook,4,4_many_different_more_one,"['many', 'different', 'more', 'one', 'kind', 'all', 'bushhook', 'five', 'seven', 'kinds']","['only, all of one kind only one', 'how many, that many, all of those ', 'money in 50, 100, or 500 piastre bills -  many of one kind']",many - different - more - one - kind - all - bushhook - five - seven - kinds,FALSE,tơgăk
3419,to do things two at once,11,11_order_command_first_to,"['order', 'command', 'first', 'to', 'over', 'step', 'begin', 'work', 'go', 'do']","['to command, order', 'to command, order ', 'to command, order']",order - command - first - to - over - step - begin - work - go - do,FALSE,"tơgep, jang tơgep"
3420,to do something to get it over with,10,10_do_stop_go_to,"['do', 'stop', 'go', 'to', 'quickly', 'work', 'doing', 'keep', 'sit', 'at']","['to be finished stop thong to go somewhere for pleasure', 'to stop off at ', 'to do quickly ']",do - stop - go - to - quickly - work - doing - keep - sit - at,FALSE,"tơgĕch, pơm tơgĕch"
3421,horn of cow or carabao used to make sound,40,40_that_type_lives_poisonous,"['that', 'type', 'lives', 'poisonous', 'fish', 'frog', 'edible', 'snake', 'insect', 'is']","['type of snake, worm that lives in water and can burrow easily', 'small frog that lives in the water ', 'a type of bee-like insect that is very small, its honey and offspring are edible']",that - type - lives - poisonous - fish - frog - edible - snake - insect - is,FALSE,tơgiĕp
3422,to keep on carrying in hand for a long time,47,47_grab_scrape_take_out,"['grab', 'scrape', 'take', 'out', 'put', 'scoop', 'clothes', 'on', 'prepare', 'hands']","['to take out with hands to eat', 'to take down or take apart as a house, to take out of a basket or a cupboard', 'to scrape out of the way, to scrape out and throw away']",grab - scrape - take - out - put - scoop - clothes - on - prepare - hands,FALSE,tơgĭng
3423,of a rabbit to stick up its ears,45,45_roar_describe_animal_noise,"['roar', 'describe', 'animal', 'noise', 'of', 'tiger', 'ears', 'bird', 'the', 'wings']","['to describe the flapping of the wings of many birds ', 'the sound of the roar of the elephant', 'sound of roar of tiger']",roar - describe - animal - noise - of - tiger - ears - bird - the - wings,FALSE,tơgiot
3424,"to roll on ground as horse, tiger ",32,32_tail_curled_describe_the,"['tail', 'curled', 'describe', 'the', 'of', 'between', 'stick', 'trap', 'curly', 'designate']","[""stick used to pull dog with rope on both sides so that animal can't bite the one pulling "", 'of an old person to hold pipe between teeth', 'to describe something large curled up in a sitting position']",tail - curled - describe - the - of - between - stick - trap - curly - designate,FALSE,tơglăng
3425,to pull fingers (contest),13,13_hit_pull_tie_with,"['hit', 'pull', 'tie', 'with', 'carry', 'on', 'to', 'against', 'shoulder', 'put']","['to hit with a small stick', 'to pull, to tie well', 'to throw up and hit one stick with another']",hit - pull - tie - with - carry - on - to - against - shoulder - put,FALSE,tơgleh
3426,dislocated joint,18,18_out_up_off_roll,"['out', 'up', 'off', 'roll', 'to', 'cut', 'under', 'break', 'wrap', 'tear']","['to measure piece of land; to level off with stick; to make a mark; to ostracize', 'to roll up, curl up body ', 'to break off easily come out easily']",out - up - off - roll - to - cut - under - break - wrap - tear,FALSE,tơglĕch
3427,to come loose as a blade from its handle,13,13_hit_pull_tie_with,"['hit', 'pull', 'tie', 'with', 'carry', 'on', 'to', 'against', 'shoulder', 'put']","['to hit with a small stick', 'to pull, to tie well', 'to throw up and hit one stick with another']",hit - pull - tie - with - carry - on - to - against - shoulder - put,FALSE,tơgloh
3428,to win by a mile,11,11_order_command_first_to,"['order', 'command', 'first', 'to', 'over', 'step', 'begin', 'work', 'go', 'do']","['to command, order', 'to command, order ', 'to command, order']",order - command - first - to - over - step - begin - work - go - do,FALSE,tơglong-gloh
3429,two people wrestling trying to throw each other down,32,32_tail_curled_describe_the,"['tail', 'curled', 'describe', 'the', 'of', 'between', 'stick', 'trap', 'curly', 'designate']","[""stick used to pull dog with rope on both sides so that animal can't bite the one pulling "", 'of an old person to hold pipe between teeth', 'to describe something large curled up in a sitting position']",tail - curled - describe - the - of - between - stick - trap - curly - designate,FALSE,tơglỡm
3430,bamboo or xylophone,15,15_bamboo_type_grass_made,"['bamboo', 'type', 'grass', 'made', 'tree', 'used', 'of', 'fish', 'xylophone', 'small']","['a type of bamboo', 'type of bamboo', 'type of bamboo']",bamboo - type - grass - made - tree - used - of - fish - xylophone - small,FALSE,tơglỡng-glơĭ (cheng-klŏng)
3431,any joint in body,8,8_maybe_fault_like_occurs,"['maybe', 'fault', 'like', 'occurs', 'bound', 'emphasis', 'morpheme', 'strong', 'quickly', 'understand']","['(bound morpheme that occurs in tŏl-bơbŏl)', '(bound morpheme that occurs in tơlueng-tơluônh-mônh)', '(bound morpheme that occurs in tơdŭk-tơdăk)']",maybe - fault - like - occurs - bound - emphasis - morpheme - strong - quickly - understand,FALSE,tơglŭk-glĕk
3432,to split up,37,37_split_divide_roll_fit,"['split', 'divide', 'roll', 'fit', 'distribute', 'up', 'chain', 'sprout', 'finish', 'to']","['to divide up', 'to split up ', 'to divide up and give, distribute']",split - divide - roll - fit - distribute - up - chain - sprout - finish - to,TRUE,tơgok
3433,small bird that sings at dawn,45,45_roar_describe_animal_noise,"['roar', 'describe', 'animal', 'noise', 'of', 'tiger', 'ears', 'bird', 'the', 'wings']","['to describe the flapping of the wings of many birds ', 'the sound of the roar of the elephant', 'sound of roar of tiger']",roar - describe - animal - noise - of - tiger - ears - bird - the - wings,FALSE,tơgowi
3434,to be broken,11,11_order_command_first_to,"['order', 'command', 'first', 'to', 'over', 'step', 'begin', 'work', 'go', 'do']","['to command, order', 'to command, order ', 'to command, order']",order - command - first - to - over - step - begin - work - go - do,FALSE,tơgở
3435,to describe a stick,32,32_tail_curled_describe_the,"['tail', 'curled', 'describe', 'the', 'of', 'between', 'stick', 'trap', 'curly', 'designate']","[""stick used to pull dog with rope on both sides so that animal can't bite the one pulling "", 'of an old person to hold pipe between teeth', 'to describe something large curled up in a sitting position']",tail - curled - describe - the - of - between - stick - trap - curly - designate,FALSE,tơgỡng
3436,to be tied up well,10,10_do_stop_go_to,"['do', 'stop', 'go', 'to', 'quickly', 'work', 'doing', 'keep', 'sit', 'at']","['to be finished stop thong to go somewhere for pleasure', 'to stop off at ', 'to do quickly ']",do - stop - go - to - quickly - work - doing - keep - sit - at,FALSE,tơgrĭn
3437,"of a ball, log, rock to roll or be rolled",18,18_out_up_off_roll,"['out', 'up', 'off', 'roll', 'to', 'cut', 'under', 'break', 'wrap', 'tear']","['to measure piece of land; to level off with stick; to make a mark; to ostracize', 'to roll up, curl up body ', 'to break off easily come out easily']",out - up - off - roll - to - cut - under - break - wrap - tear,FALSE,tơgrŏl
3438,"to tie a knot; to keep in the mind, remember and follow",34,34_someone_caught_going_crush,"['someone', 'caught', 'going', 'crush', 'hit', 'something', 'by', 'upon', 'to', 'hand']","['to crush, press down with hand ', 'to raise arm holding something ready to hit someone or something', 'to hold or push someone head up']",someone - caught - going - crush - hit - something - by - upon - to - hand,FALSE,tơguăt
3439,to help,1,1_look_yes_there_times,"['look', 'yes', 'there', 'times', 'more', 'equal', 'over', 'if', 'past', 'distant']","['to look at ', 'to look at ', 'to look here and there ']",look - yes - there - times - more - equal - over - if - past - distant,FALSE,tơgŭm
3440,of tree to be split,21,21_basket_tree_hut_sword,"['basket', 'tree', 'hut', 'sword', 'centipede', 'calf', 'rod', 'trees', 'back', 'trunk']","['the top part of a tree; the ending of a story (as opposed to trunk of tree or in abstract form beginning) ', 'small back basket ', 'small back basket']",basket - tree - hut - sword - centipede - calf - rod - trees - back - trunk,FALSE,tơhak
3441,to be torn,10,10_do_stop_go_to,"['do', 'stop', 'go', 'to', 'quickly', 'work', 'doing', 'keep', 'sit', 'at']","['to be finished stop thong to go somewhere for pleasure', 'to stop off at ', 'to do quickly ']",do - stop - go - to - quickly - work - doing - keep - sit - at,FALSE,tơhek
3442,to curse each other,12,12_angry_be_lie_do,"['angry', 'be', 'lie', 'do', 'to', 'speak', 'verb', 'threaten', 'someone', 'for']","['to be angry ', 'to not be angry at', 'to be angry']",angry - be - lie - do - to - speak - verb - threaten - someone - for,FALSE,tơhiap
3443,the string of the crossbow,17,17_crossbow_footprints_arrow_cockeyed,"['crossbow', 'footprints', 'arrow', 'cockeyed', 'length', 'mouse', 'kite', 'spider', 'crosseyed', 'necklace']","['crossbow', 'the length of objects as opposed to their width i.e. the measurement of the length', 'body of crossbow on which arrow is set']",crossbow - footprints - arrow - cockeyed - length - mouse - kite - spider - crosseyed - necklace,FALSE,tơhiĕng
3444,to lose on purpose,10,10_do_stop_go_to,"['do', 'stop', 'go', 'to', 'quickly', 'work', 'doing', 'keep', 'sit', 'at']","['to be finished stop thong to go somewhere for pleasure', 'to stop off at ', 'to do quickly ']",do - stop - go - to - quickly - work - doing - keep - sit - at,FALSE,tơhiong
3445,of a rope to be,13,13_hit_pull_tie_with,"['hit', 'pull', 'tie', 'with', 'carry', 'on', 'to', 'against', 'shoulder', 'put']","['to hit with a small stick', 'to pull, to tie well', 'to throw up and hit one stick with another']",hit - pull - tie - with - carry - on - to - against - shoulder - put,FALSE,tơhiŭl
3446,"to be caught hooked on something, be caught by the enemy",34,34_someone_caught_going_crush,"['someone', 'caught', 'going', 'crush', 'hit', 'something', 'by', 'upon', 'to', 'hand']","['to crush, press down with hand ', 'to raise arm holding something ready to hit someone or something', 'to hold or push someone head up']",someone - caught - going - crush - hit - something - by - upon - to - hand,FALSE,tơhlăk
3447,of a seam to come apart,18,18_out_up_off_roll,"['out', 'up', 'off', 'roll', 'to', 'cut', 'under', 'break', 'wrap', 'tear']","['to measure piece of land; to level off with stick; to make a mark; to ostracize', 'to roll up, curl up body ', 'to break off easily come out easily']",out - up - off - roll - to - cut - under - break - wrap - tear,FALSE,tơhleh
3448,"only one, very little",4,4_many_different_more_one,"['many', 'different', 'more', 'one', 'kind', 'all', 'bushhook', 'five', 'seven', 'kinds']","['only, all of one kind only one', 'how many, that many, all of those ', 'money in 50, 100, or 500 piastre bills -  many of one kind']",many - different - more - one - kind - all - bushhook - five - seven - kinds,FALSE,tơhlĕl
3449,to scare,29,29_hear_quiet_eyes_fear,"['hear', 'quiet', 'eyes', 'fear', 'sleep', 'shake', 'feel', 'be', 'yell', 'talking']","['to shake from fear', 'to be afraid, shake from fear', 'to hear many people talking, to hear heavy noise']",hear - quiet - eyes - fear - sleep - shake - feel - be - yell - talking,FALSE,tơhli
3450,to point with finger,13,13_hit_pull_tie_with,"['hit', 'pull', 'tie', 'with', 'carry', 'on', 'to', 'against', 'shoulder', 'put']","['to hit with a small stick', 'to pull, to tie well', 'to throw up and hit one stick with another']",hit - pull - tie - with - carry - on - to - against - shoulder - put,FALSE,"tơhlŏu, tơhlâu"
3451,to practice,10,10_do_stop_go_to,"['do', 'stop', 'go', 'to', 'quickly', 'work', 'doing', 'keep', 'sit', 'at']","['to be finished stop thong to go somewhere for pleasure', 'to stop off at ', 'to do quickly ']",do - stop - go - to - quickly - work - doing - keep - sit - at,FALSE,tơhmă
