X,Document,Topic,Name,Representation,Representative_Docs,Top_n_words,Representative_document,Keys
48,skin,6,6_large_pile_intensifier_garden,"['large', 'pile', 'intensifier', 'garden', 'stream', 'area', 'flat', 'river', 'cover', 'paper']","['large pile  ', 'a large pile', 'to be wide cover large area']",large - pile - intensifier - garden - stream - area - flat - river - cover - paper,FALSE,akar
49,wife,9,9_law_people_person_mother,"['law', 'people', 'person', 'mother', 'father', 'polite', 'dual', 'daughter', 'friend', '1st']","['an aunt who is younger than father or mother, honorific term for women same age or younger than speaker', 'father-in-law, mother-in-law', 'close friend with special contract or pact also used in addressing father-in-law and mother-in-law of one son or daughter ']",law - people - person - mother - father - polite - dual - daughter - friend - 1st,FALSE,akăn
50,horn (animal),5,5_bird_type_animal_duck,"['bird', 'type', 'animal', 'duck', 'of', 'wild', 'color', 'white', 'like', 'nest']","['bird', 'type of small bird ', 'a type of bird']",bird - type - animal - duck - of - wild - color - white - like - nest,FALSE,ake
51,"to tell, to teach",22,22_do_obey_someone_make,"['do', 'obey', 'someone', 'make', 'want', 'give', 'to', 'along', 'take', 'something']","[""to want to do something one can't"", 'to make to obey ', 'to not want to do']",do - obey - someone - make - want - give - to - along - take - something,FALSE,akhan
52,prevent,2,2_be_go_me_praise,"['be', 'go', 'me', 'praise', 'wait', 'for', 'to', 'home', 'careful', 'fool']","['let me go (and see about it)', 'to ask to go with invite to go somewhere ', '""excuse me, I must go home""']",be - go - me - praise - wait - for - to - home - careful - fool,FALSE,akhoi
53,neck,17,17_crossbow_footprints_arrow_cockeyed,"['crossbow', 'footprints', 'arrow', 'cockeyed', 'length', 'mouse', 'kite', 'spider', 'crosseyed', 'necklace']","['crossbow', 'the length of objects as opposed to their width i.e. the measurement of the length', 'body of crossbow on which arrow is set']",crossbow - footprints - arrow - cockeyed - length - mouse - kite - spider - crosseyed - necklace,FALSE,ako
54,honey-thick yellow stage,39,39_white_black_red_dark,"['white', 'black', 'red', 'dark', 'color', 'dust', 'reddish', 'complexion', 'ruddy', 'very']","['very black, dirty black', 'color combination of having small spots of black and white', 'very black, dirty black ']",white - black - red - dark - color - dust - reddish - complexion - ruddy - very,FALSE,"akoh, akoh sut"
55,"to meet together, to gather things",22,22_do_obey_someone_make,"['do', 'obey', 'someone', 'make', 'want', 'give', 'to', 'along', 'take', 'something']","[""to want to do something one can't"", 'to make to obey ', 'to not want to do']",do - obey - someone - make - want - give - to - along - take - something,FALSE,"akŏm, akŭm"
56,"to shave, to scrape",47,47_grab_scrape_take_out,"['grab', 'scrape', 'take', 'out', 'put', 'scoop', 'clothes', 'on', 'prepare', 'hands']","['to take out with hands to eat', 'to take down or take apart as a house, to take out of a basket or a cupboard', 'to scrape out of the way, to scrape out and throw away']",grab - scrape - take - out - put - scoop - clothes - on - prepare - hands,FALSE,akôih
57,pillow,35,35_hair_high_recede_unruly,"['hair', 'high', 'recede', 'unruly', 'thunder', 'weight', 'see', 'swelling', 'distance', 'light']","['same as pơtuch but the distance between caller and listener is less', 'hair all over the place unruly hair', 'to describe unruly hair']",hair - high - recede - unruly - thunder - weight - see - swelling - distance - light,FALSE,akơn
58,to lean on,10,10_do_stop_go_to,"['do', 'stop', 'go', 'to', 'quickly', 'work', 'doing', 'keep', 'sit', 'at']","['to be finished stop thong to go somewhere for pleasure', 'to stop off at ', 'to do quickly ']",do - stop - go - to - quickly - work - doing - keep - sit - at,FALSE,akơn
59,leaf stem and main vein running up middle of leaf,25,25_surfaced_shaped_straw_roof,"['surfaced', 'shaped', 'straw', 'roof', 'large', 'blanket', 'skin', 'gongs', 'type', 'pitch']","['palm-shaped, spoke-shaped as rays of sun at dawn', 'to describe flat-surfaced object in flight', 'to describe flat-surfaced object']",surfaced - shaped - straw - roof - large - blanket - skin - gongs - type - pitch,FALSE,akơng
60,"under, beneath ",16,16_side_leg_top_roads,"['side', 'leg', 'top', 'roads', 'belt', 'floor', 'width', 'upper', 'corner', 'vehicle']","['row of houses side by side', 'one side', 'side by side']",side - leg - top - roads - belt - floor - width - upper - corner - vehicle,FALSE,ala
61,ouch,0,0_time_day_completely_hidden,"['time', 'day', 'completely', 'hidden', 'nothing', 'days', 'continually', 'there', 'ago', 'today']","['nothing there, completely gone ', 'completely gone, nothing there ', 'a while ago, the other day time, designates time from a few days ago up to about a year ago']",time - day - completely - hidden - nothing - days - continually - there - ago - today,FALSE,alah
62,lazy,20,20_want_ask_pay_need,"['want', 'ask', 'pay', 'need', 'be', 'depend', 'desire', 'live', 'money', 'for']","['to want, desire', 'to want, desire', 'to pay to spirits what has been promised or to actually buy something you say you will']",want - ask - pay - need - be - depend - desire - live - money - for,FALSE,alah
63,spend only a little,20,20_want_ask_pay_need,"['want', 'ask', 'pay', 'need', 'be', 'depend', 'desire', 'live', 'money', 'for']","['to want, desire', 'to want, desire', 'to pay to spirits what has been promised or to actually buy something you say you will']",want - ask - pay - need - be - depend - desire - live - money - for,FALSE,amăn
64,to sit in one place working away,10,10_do_stop_go_to,"['do', 'stop', 'go', 'to', 'quickly', 'work', 'doing', 'keep', 'sit', 'at']","['to be finished stop thong to go somewhere for pleasure', 'to stop off at ', 'to do quickly ']",do - stop - go - to - quickly - work - doing - keep - sit - at,FALSE,ameng
65,"glass, mirror",16,16_side_leg_top_roads,"['side', 'leg', 'top', 'roads', 'belt', 'floor', 'width', 'upper', 'corner', 'vehicle']","['row of houses side by side', 'one side', 'side by side']",side - leg - top - roads - belt - floor - width - upper - corner - vehicle,FALSE,amǐl
66,continually,0,0_time_day_completely_hidden,"['time', 'day', 'completely', 'hidden', 'nothing', 'days', 'continually', 'there', 'ago', 'today']","['nothing there, completely gone ', 'completely gone, nothing there ', 'a while ago, the other day time, designates time from a few days ago up to about a year ago']",time - day - completely - hidden - nothing - days - continually - there - ago - today,FALSE,amǐk
67,peacock,3,3_village_family_name_children,"['village', 'family', 'name', 'children', 'child', 'emphatic', 'form', 'old', 'goat', 'chicken']","['village', 'large village', 'old abandoned village, site of old village']",village - family - name - children - child - emphatic - form - old - goat - chicken,FALSE,amră
68,red pepper,14,14_intensive_wine_delicious_form,"['intensive', 'wine', 'delicious', 'form', 'ripe', 'beautiful', 'cleaned', 'kidneys', 'potions', 'healthy']","['wine', 'type of wine jar which is the most expensive and has a spirit associated with it', 'good beautiful delicious healthy ']",intensive - wine - delicious - form - ripe - beautiful - cleaned - kidneys - potions - healthy,FALSE,amrĕ
69,"type of red pepper, large and not so hot ",14,14_intensive_wine_delicious_form,"['intensive', 'wine', 'delicious', 'form', 'ripe', 'beautiful', 'cleaned', 'kidneys', 'potions', 'healthy']","['wine', 'type of wine jar which is the most expensive and has a spirit associated with it', 'good beautiful delicious healthy ']",intensive - wine - delicious - form - ripe - beautiful - cleaned - kidneys - potions - healthy,FALSE,amrĕ nô
70,words of someone insisting they can do something but they can't,12,12_angry_be_lie_do,"['angry', 'be', 'lie', 'do', 'to', 'speak', 'verb', 'threaten', 'someone', 'for']","['to be angry ', 'to not be angry at', 'to be angry']",angry - be - lie - do - to - speak - verb - threaten - someone - for,FALSE,amrĕl
71,"different, another",4,4_many_different_more_one,"['many', 'different', 'more', 'one', 'kind', 'all', 'bushhook', 'five', 'seven', 'kinds']","['only, all of one kind only one', 'how many, that many, all of those ', 'money in 50, 100, or 500 piastre bills -  many of one kind']",many - different - more - one - kind - all - bushhook - five - seven - kinds,FALSE,"anai, nai"
