name,id,group,size,node_name
"""blă",375,34,1,to indicate the releasing of one's grip
"""blaǐ-""blaǐ",376,12,1,don't dare
"""blek-'blek",377,32,1,to designate movement of a shiny object
"""blep",378,1,1,correct right
"""blêr",379,29,1,to open eyes from sleep
"""blop",380,37,1,"to fit, cover exactly"
"""blop-'blop",381,2,1,to lie
"""bo",382,0,1,"no more, enough"
"""bo-""bang",383,0,1,"plenty, enough"
"""boh",384,14,1,salt
"""boi",385,33,1,"follow footprints, repeat after, copy written material "
"""bok",386,9,1,"grandfather, sir, Mr."
"""bot",387,13,1,"to put arm in hole, to put on bracelet "
‘long 'bơ,388,7,1,a harrow
‘bơ'băp 'bơ'băp,389,32,1,chattering of teeth
"""bơ'bel ",390,10,1,to keep on doing
"""bơ""blŏ-""bơ""blônh-mônh",391,22,1,to have no desire to do
"""bơ""brŏng",392,4,1,to designate an empty house
"""bơch",393,12,1,to forget and do something though dangerous
‘bơh,394,7,1,megaphone
"""bơm",395,13,1,to hit target
‘bỡr,396,8,1,mouth
‘bỡt,397,38,1,"to fix dislocated limbs or knives, etc./place"
"""brăl-""brăl",398,44,1,to designate noise and action of easily breaking stick
‘bre,399,39,1,to designate small object that is very red
"""brĕ-""bră",400,19,1,describes water coming out of many places in a mountain
‘brĕng,401,29,1,"to hear clear and well, to suddenly hear "
"""brĕng-""brĕnh",402,29,1,to designate the action and appearance of fumes
"""brĕt-""brĕt",403,0,1,gradually
‘bri,404,39,1,ruddy complexion
"""brīu",405,39,1,ruddy complexion or red and shiny wood
‘bro,406,49,1,hoarse
"""broih",407,43,1,of fish not to be sticky
"""brôih",408,25,1,brush
"""brông",409,39,1,to describe many that are all red
"""brơn",410,41,1,"to treat impolitely, be discourteous or mean"
"""brơu",411,30,1,the long good leaf of tobacco
"""brỡk",412,2,1,to feel sorry for
"""brỡm",413,17,1,"arrow, bullets, quills of porcupine"
"""bruih",414,39,1,"dust, rubbish "
"""brŭng",415,23,1,ripe-colored rice
"""brưch",416,35,1,"to designate rays of dawning sun, coming up of full moon"
"""bui",417,39,1,dust
"""buih",418,23,1,"yeast, a substance put in rice wine "
"""bum ",419,16,1,tuber
"""bŭ",420,47,1,to bury
"""bŭng",421,15,1,small metal pitcher-shaped pot/a type of guava which is red inside when ripe
"""bưk-""bưk",422,12,1,to talk big
cha-chah,423,27,1,imitation of early speech of baby
chai,424,25,1,"inflammable tree pitch, plastic, glass"
chak,425,39,1,white-tailed
cham,426,17,1,yard around house
chang,427,2,1,"wait for, expect"
chang-lă,428,15,1,type of grass with stickers
chap,429,5,1,sparrow-like bird
char,430,5,1,type of wild cat
chi,431,1,1,to look for
chăl,432,1,1,"part, chapter/to chop wood of small diameter"
chăr,433,38,1,"to split bamboo into small pieces, to make cord "
chăt,434,37,1,to sprout
che,435,16,1,cloth
"che, hla che dak che",436,14,1,tea
cheh,437,21,1,to hatch
cheh-reh,438,7,1,termite
chek,439,42,1,of animals to have many offspring
chem-chom,440,32,1,"a trap, a place hard to get out of "
cheng,441,13,1,"to lean, to go to the side"
chep-chep,442,4,1,cheep cheep
chĕng,443,37,1,"to divide into parts, partition"
chĕp,444,13,1,to hold in hand
chêng,445,25,1,large gongs
chêng kông,446,25,1,a large type of gong
chêng kơklêng,447,32,1,to describe the rolling of something circular like a gong
chhăl,448,2,1,to accuse
chhĕk-chhŏk,449,0,1,unpeaceful
chhing,450,25,1,a shelter from wind and rain
chho,451,24,1,to clean or shine by rubbing
"chhŏng, chhŏng ka",452,43,1,to dip for fish
chhŏnh,453,12,1,to tease in a bad way
chhŏr,454,20,1,to be satisfied
chhơp,455,12,1,"happy, relieved because a bad situation turns out good"
chhỡ,456,37,1,"to draw, write"
